abbreviation,replacement
bayerisc.,bayerisches
bayerisch.,bayerisches
bayr.,bayreuth
bayreuth.,bayreuther
beam.,beams
bear.,bearing
beatmungs.,beatmungsmedizin
beatmungsmed.,beatmungsmedizin
bec.,beckman
beck.,beckman
bed.,bedford
bedford.,bedfordshire
beds.,bedson
bee.,beecham
beer-s.,beer-sheva
beg.,begin
beh.,behavioral
beha.,behavioral
behand.,behandlungszentrum
behandl.,behandlungszentrum
behandlungszent.,behandlungszentrum
behandlungszentr.,behandlungszentrum
behav.,behavioral
behavi.,behavioral
behavior.,behavioral
behaviour.,behavioural
behl.,behlen
behringw.,behringwerke
beij.,beijing
bej.,bejaia
beja.,bejaia
bek.,bekr
bel.,bell
belar.,belarus
belarus.,belarusian
belaruss.,belarussian
belg.,belgrade
belgi.,belgium
belgor.,belgorod
belgrad.,belgrade
belgyógyászat.,belgyógyászati
belk.,belkaid
bell-n.,bell-northern
bell.,bellvitge
belle.,bellevue
bellv.,bellvitge
bellvit.,bellvitge
belor.,belorussian
beloru.,belorussian
belorus.,belorussian
beloruss.,belorussian
belorussia.,belorussian
beloz.,belozersky
belt.,beltsville
belts.,beltsville
beltsv.,beltsville
ben-g.,ben-gurion
ben.,benjamin
bend.,bendix
bene.,benemerita
benedict.,benedictine
benef.,beneficial
benefic.,beneficial
benefit.,benefits
benem.,benemerita
bengal.,bengaluru
benj.,benjamin
bent.,bentley
beograd.,beogradu
ber.,berlin
berat.,beratung
beratung.,beratungsstelle
beratungsst.,beratungsstelle
bere.,bereich
bereic.,bereich
bereich.,bereichs
berg.,bergen
berga.,bergakademie
bergakad.,bergakademie
bergakade.,bergakademie
bergakadem.,bergakademie
bergis.,bergische
bergisc.,bergische
bergm.,bergmannsheil
bergman.,bergmannsheil
bergmann.,bergmannsheil
bergmanns.,bergmannsheil
bergmannsh.,bergmannsheil
berks.,berkshire
berksh.,berkshire
berl.,berlin
berlin-a.,berlin-adlershof
berlin-adl.,berlin-adlershof
berlin-b.,berlin-buch
berlin-d.,berlin-dahlem
berlin.,berliner
berline.,berliner
bern.,bernard
berna.,bernard
bernard-l.,bernard-lyon
bernard.,bernardino
beruf.,berufsgenossenschaftliche
berufs.,berufsgenossenschaftliche
berufsg.,berufsgenossenschaftliche
berufsgen.,berufsgenossenschaftliche
berufsgeno.,berufsgenossenschaftliche
berufsgenos.,berufsgenossenschaftliche
berufsgenoss.,berufsgenossenschaftliche
berufsgenossen.,berufsgenossenschaftliche
berufsgenossens.,berufsgenossenschaftliche
berufsgenossensch.,berufsgenossenschaftliche
berufsgenossenschaf.,berufsgenossenschaftliche
berufsgenossenschaft.,berufsgenossenschaftliche
berufsgenossenschaftl.,berufsgenossenschaftliche
berufsgenossenschaftli.,berufsgenossenschaftliche
bes.,besta
best.,besta
bet.,beth
beth.,bethesda
betr.,betriebswirtschaftslehre
betrie.,betriebswirtschaftslehre
betrieb.,betriebswirtschaftslehre
betriebs.,betriebswirtschaftslehre
betriebswirtsc.,betriebswirtschaftslehre
betriebswirtsch.,betriebswirtschaftslehre
betriebswirtschaft.,betriebswirtschaftslehre
betw.,between
beut.,beuth
bev.,beverly
bey.,beyazit
bez.,bezmialem
bezirk.,bezirkskrankenhaus
bezirks.,bezirkskrankenhaus
bezirksklin.,bezirksklinikum
bezirkskr.,bezirkskrankenhaus
bezirkskrank.,bezirkskrankenhaus
bezirkskranken.,bezirkskrankenhaus
bezirkskrankenh.,bezirkskrankenhaus
bg-k.,bg-kliniken
bg-klin.,bg-kliniken
bg-u.,bg-unfallklinik
bg-unfallklin.,bg-unfallklinik
bgp.,bgpi
bhag.,bhagwan
bhav.,bhavan
bia.,bialystok
bial.,bialystok
bian.,bianchi
białymstok.,białymstoku
bibl.,biblioteca
biblio.,biblioteca
bibliot.,biblioteca
bibliotec.,biblioteca
bic.,bichat
bicet.,bicetre
bichat-c.,bichat-claude
bichat-cl.,bichat-claude
bichat-claude-b.,bichat-claude-bernard
bid.,bidhan
bied.,biederstein
bieders.,biederstein
biel.,bielefeld
bielsko-b.,bielsko-biala
bielsko-bial.,bielsko-biala
big.,bigelow
bih.,bihar
bik.,bikur
bil.,bilkent
bild.,bildungsforschung
bildung.,bildungsforschung
bildungsforsch.,bildungsforschung
bilg.,bilgisayar
bilharz.,bilharziasis
biliar.,biliary
bilim.,bilimleri
bimolec.,bimolecular
bin.,binghamton
binz.,binzhou
bio-anal.,bio-analytical
bio-analyt.,bio-analytical
bio-app.,bio-applications
bio-appl.,bio-applications
bio-appli.,bio-applications
bio-applic.,bio-applications
bio-e.,bio-engineering
bio-energ.,bio-energy
bio-eng.,bio-engineering
bio-engin.,bio-engineering
bio-env.,bio-environmental
bio-environ.,bio-environmental
bio-i.,bio-inspired
bio-indust.,bio-industry
bio-info.,bio-informatics
bio-inform.,bio-informatics
bio-informat.,bio-informatics
bio-innov.,bio-innovation
bio-insp.,bio-inspired
bio-m.,bio-medico
bio-mat.,bio-materials
bio-med.,bio-medico
bio-mol.,bio-molecules
bio-molec.,bio-molecules
bio-n.,bio-nano
bio-nanotech.,bio-nanotechnology
bio-nanotechnol.,bio-nanotechnology
bio-o.,bio-organic
bio-org.,bio-organic
bio-organ.,bio-organic
bio-p.,bio-pharmaceutical
bio-pharm.,bio-pharmaceutical
bio-pharma.,bio-pharmaceutical
bio-pharmac.,bio-pharmaceutical
bio-pharmaceu.,bio-pharmaceutical
bio-pharmaceut.,bio-pharmaceutical
bio-pharmaceutic.,bio-pharmaceutical
bio-protect.,bio-protection
bio-r.,bio-resources
bio-res.,bio-resources
bio-resour.,bio-resources
bio-s.,bio-science
bio-sci.,bio-science
bio-stat.,bio-statistics
bio-syst.,bio-systems
bio-tec.,bio-technology
bio-tech.,bio-technology
bio-technol.,bio-technology
bio.,biology
bio/mol.,bio/molecular
bio/molec.,bio/molecular
bioacoust.,bioacoustics
bioact.,bioactive
bioactiv.,bioactive
bioag.,bioagricultural
bioagr.,bioagricultural
bioagri.,bioagricultural
bioagric.,bioagricultural
bioagricul.,bioagricultural
bioagricult.,bioagricultural
bioagricultur.,bioagricultural
bioana.,bioanalytical
bioanal.,bioanalytical
bioanalys.,bioanalysis
bioanalyt.,bioanalytical
bioanorg.,bioanorganische
bioanorgan.,bioanorganische
bioanorgani.,bioanorganische
biobeh.,biobehavioral
biobehav.,biobehavioral
bioc.,biochemistry
biocat.,biocatalysis
biocatal.,biocatalysis
biocatalys.,biocatalysis
biocen.,biocenter
biocent.,biocenter
bioch.,biochemistry
bioche.,biochemistry
biochem.,biochemistry
biochemi.,biochemistry
biochemical.,biochemicals
biochemis.,biochemistry
biochemist.,biochemistry
biochemistry/biophy.,biochemistry/biophysics
biochemistry/biophys.,biochemistry/biophysics
biochemistry/mol.,biochemistry/molecular
biochemistry/mole.,biochemistry/molecular
biochemistry/molec.,biochemistry/molecular
biochemistry/molecul.,biochemistry/molecular
biochi.,biochimie
biochim.,biochimie
biochimi.,biochimie
biochimic.,biochimica
bioci.,biociencias
biocie.,biociencias
biocien.,biociencias
biocienc.,biociencias
biociencia.,biociencias
biociênc.,biociências
bioclimatol.,bioclimatologie
biocol.,biocolloid
biocoll.,biocolloid
biocomp.,biocomputing
biocomplex.,biocomplexity
biocomput.,biocomputing
biocont.,biocontrol
biocontr.,biocontrol
biocyb.,biocybernetics
biocyber.,biocybernetics
biocybern.,biocybernetics
biocybernet.,biocybernetics
biod.,biodiversity
biodef.,biodefense
biodeg.,biodegradables
biodegrad.,biodegradables
biodi.,biodiversity
biodiagn.,biodiagnostics
biodiv.,biodiversity
biodiver.,biodiversity
biodivers.,biodiversity
biodiversid.,biodiversidad
biodiversidad.,biodiversidade
biodyn.,biodynamics
biodynam.,biodynamics
bioec.,bioeconomy
bioelec.,bioelectronics
bioelect.,bioelectronics
bioelectr.,bioelectronics
bioelectric.,bioelectrics
bioelectrochem.,bioelectrochemistry
bioelectrochemi.,bioelectrochemistry
bioelectron.,bioelectronics
bioen.,bioengineering
bioene.,bioenergy
bioener.,bioenergy
bioenerg.,bioenergy
bioenerget.,bioenergetics
bioenergetiq.,bioenergetique
bioeng.,bioengineering
bioengi.,bioengineering
bioengin.,bioengineering
bioengineer.,bioengineering
bioenv.,bioenvironmental
bioenviron.,bioenvironmental
bioenvironm.,bioenvironmental
bioet.,bioethics
bioeth.,bioethics
biof.,biofisica
biofis.,biofisica
biofiz.,biofizyki
biofunc.,biofunctional
biofunct.,biofunctional
biofís.,biofísica
biog.,biogeochemistry
biogen.,biogenesis
biogenes.,biogenesis
biogenet.,biogenetic
biogeo.,biogeochemistry
biogeochem.,biogeochemistry
biogeog.,biogeography
biogeogr.,biogeography
biogeograph.,biogeography
biogeol.,biogeology
biogeosci.,biogeosciences
bioh.,biohybrid
bioi.,bioinformatics
bioind.,bioindustry
bioindust.,bioindustry
bioinf.,bioinformatics
bioinfo.,bioinformatics
bioinfor.,bioinformatics
bioinform.,bioinformatics
bioinforma.,bioinformatics
bioinformat.,bioinformatics
bioing.,bioingegneria
bioingegn.,bioingegneria
bioingen.,bioingenieria
bioinorg.,bioinorganic
bioinorga.,bioinorganic
bioinorgan.,bioinorganic
biointer.,biointerfaces
biointerf.,biointerfaces
biokh.,biokhimii
biokhim.,biokhimii
biokin.,biokinesiology
biokinesiol.,biokinesiology
biol.,biology
biolab.,biolabs
biolo.,biology
biolog.,biology
biologi.,biological
biologic.,biological
biologica.,biological
biological.,biologically
biologicam.,biologicamente
biologich.,biologiche
biologie.,biologies
biologiq.,biologique
biologique.,biologiques
biologis.,biologische
biologisch.,biologische
biology/c.,biology/chemistry
biology/chem.,biology/chemistry
biológica.,biológicas
biológico.,biológicos
biom.,biomedical
bioma.,biomaterials
biomacromol.,biomacromolecules
biomacromolec.,biomacromolecules
biomag.,biomagune
biomagn.,biomagnetism
biomar.,biomarkers
biomark.,biomarkers
biomat.,biomaterials
biomater.,biomaterials
biomath.,biomathematics
biomathem.,biomathematics
biomathemat.,biomathematics
biome.,biomedical
biomec.,biomechanics
biomech.,biomechanics
biomechan.,biomechanics
biomed.,biomedical
biomedi.,biomedical
biomedic.,biomedical
biomedica.,biomedical
biomedical.,biomedicale
biomedich.,biomediche
biomedicina.,biomedicinal
biomediq.,biomediques
biomedizin.,biomedizinische
biomem.,biomembrane
biomemb.,biomembrane
biomembr.,biomembrane
biomet.,biometry
biometeorol.,biometeorology
biometr.,biometry
biomim.,biomimetic
biomin.,biomineralization
biomineral.,biomineralization
biomo.,biomolecular
biomol.,biomolecular
biomole.,biomolecular
biomolec.,biomolecular
biomolecul.,biomolecular
biomolek.,biomolekulare
biomorphol.,biomorphological
biomèdic.,biomèdica
biomé.,biomédica
bioméd.,biomédica
biomédica.,biomédicas
biomédical.,biomédicale
biométr.,biométrie
bion.,bionics
bionanote.,bionanotechnology
bionet.,bionetics
bioor.,bioorganic
bioorg.,bioorganic
bioorgan.,bioorganic
biop.,biophysics
biopat.,biopathology
biopath.,biopathology
biopathol.,biopathology
biopatol.,biopatologia
bioph.,biophysics
biophar.,biopharmaceutics
biopharm.,biopharmaceutics
biopharma.,biopharmaceutics
biopharmac.,biopharmaceutics
biopharmaceut.,biopharmaceutics
biophoton.,biophotonics
biophy.,biophysics
biophys.,biophysics
biophysic.,biophysics
biophysik.,biophysikalische
biophysika.,biophysikalische
biophysikal.,biophysikalische
biopol.,biopolymer
biopoly.,biopolymer
biopolym.,biopolymer
biopolymer.,biopolymers
biopro.,bioprocess
bioproc.,bioprocess
bioprocess.,bioprocessing
bioprod.,bioproducts
bioproduc.,bioproducts
biopsychol.,biopsychology
bioq.,bioquimica
bioqu.,bioquimica
bioqui.,bioquimica
bioquim.,bioquimica
bioquimi.,bioquimica
bioquimica.,bioquimicas
bioquím.,bioquímica
bioquímica.,bioquímicas
bioquímico.,bioquímicos
bior.,bioresource
biore.,bioresource
bioreac.,bioreactor
bioreact.,bioreactor
bioreg.,bioregulation
bioregul.,bioregulation
bioregulat.,bioregulation
biorem.,bioremediation
bioremed.,bioremediation
biores.,bioresource
bioresour.,bioresource
biorheo.,biorheological
biorheol.,biorheological
bios.,biostatistics
biosaf.,biosafety
biosafe.,biosafety
biosc.,biosciences
biosci.,biosciences
bioscie.,biosciences
bioscience.,biosciences
biosep.,bioseparation
biosist.,biosistemi
biosp.,biosphere
biosph.,biosphere
biospher.,biosphere
biost.,biostatistics
biostat.,biostatistics
biostatis.,biostatistics
biostatist.,biostatistics
biostatistica.,biostatistical
biostruc.,biostructure
biostruct.,biostructure
biostrutt.,biostrutture
biosynt.,biosynthesis
biosynth.,biosynthesis
biosynthes.,biosynthesis
biosys.,biosystems
biosyst.,biosystems
biosystem.,biosystems
biosystemat.,biosystematics
biot.,biotechnology
biote.,biotechnology
biotec.,biotechnology
biotech.,biotechnology
biotechn.,biotechnology
biotechno.,biotechnology
biotechnol.,biotechnology
biotechnolo.,biotechnology
biotechnolog.,biotechnology
biotechnologie.,biotechnologies
biotecn.,biotecnologia
biotecno.,biotecnologia
biotecnol.,biotecnologia
biotecnolog.,biotecnologia
biotecnológ.,biotecnológicas
biotecnológica.,biotecnológicas
biother.,biotherapy
biotherapeut.,biotherapeutics
biotransf.,biotransformation
biotransform.,biotransformation
biov.,bioversity
bioverfahrenstech.,bioverfahrenstechnik
biow.,biowissenschaften
biowis.,biowissenschaften
biowiss.,biowissenschaften
biowissen.,biowissenschaften
biowissens.,biowissenschaften
biowissensc.,biowissenschaften
biowissensch.,biowissenschaften
biowissenschaf.,biowissenschaften
biowissenschaft.,biowissenschaften
biozen.,biozentrum
biozent.,biozentrum
biozentr.,biozentrum
bip.,bipolar
bir.,birmingham
bird.,birds
birm.,birmingham
birming.,birmingham
birth.,birthright
biru.,biruni
bis.,bispebjerg
bit.,bitter
biy.,biyoloji
biyo.,biyoloji
biyok.,biyokimya
biyokim.,biyokimya
biyol.,biyoloji
biyomed.,biyomedikal
biz.,bizerte
biót.,bióticos
bla.,blaise
black.,blackett
blag.,blaga
blaise-p.,blaise-pascal
blaise-pasc.,blaise-pascal
blanc.,blanche
blas.,blast
blau.,blaustein
bld.,bldg
blind.,blindness
blindn.,blindness
blo.,blood
bloc.,block
block.,blockley
blok.,blokhin
blood.,bloodcenter
bloom.,bloomberg
blut.,blutspendedienst
blutspen.,blutspendedienst
blutspend.,blutspendedienst
blutspende.,blutspendedienst
blutspended.,blutspendedienst
blv.,blvd
boa.,board
boar.,board
board.,boards
bob.,bobigny
bobo-d.,bobo-dioulasso
boca.,bocage
boch.,bochum
bod.,body
boden.,bodenkultur
bodenf.,bodenforschung
bodenfo.,bodenforschung
bodenfor.,bodenforschung
bodenfors.,bodenforschung
bodenforsc.,bodenforschung
bodenforsch.,bodenforschung
bodenk.,bodenkultur
bodenkul.,bodenkultur
bodenkult.,bodenkultur
bodenkun.,bodenkunde
boeh.,boehringer
boehringer-i.,boehringer-ingelheim
bog.,bogazici
bogenhaus.,bogenhausen
boh.,bohemia
bohem.,bohemia
bohemia.,bohemian
boil.,boiler
bois.,boise
boku-u.,boku-university
boku-univ.,boku-university
boku.,bokutoh
bol.,bologna
bole.,bolesti
boles.,bolesti
bolest.,bolesti
bolezn.,boleznej
boli.,bolivariana
boliva.,bolivariana
bolivar.,bolivariana
bolivarian.,bolivariana
bolivia.,boliviano
boln.,bolnica
bolog.,bologna
bologn.,bologna
bolognet.,bolognetti
bols.,bolsista
bolt.,bolton
bolu.,bolumu
bomb.,bombay
bon.,bonn
bond.,bonding
bonif.,boniface
bonn-rhein-s.,bonn-rhein-sieg
bonn-v.,bonn-venusberg
bonn.,bonniot
book.,books
bor.,bordeaux
bord.,bordeaux
bordeaux-g.,bordeaux-gradignan
bordeaux-grad.,bordeaux-gradignan
borea.,borealis
borg.,borgo
borges.,borgess
borne.,borneo
boro.,borough
borst.,borstel
bortol.,bortolo
bos.,boston
bot.,botany
bota.,botany
botan.,botany
botani.,botanical
botanic.,botanical
botanica.,botanical
botanich.,botaniche
botanik.,botaniki
botanique.,botaniques
botanis.,botanisches
both.,bothell
botn.,botnar
bots.,botswana
botànic.,botànica
botán.,botánica
bou.,boulder
boul.,boulder
bould.,boulder
boumed.,boumediene
boun.,boundary
bound.,boundary
bourg.,bourgogne
bov.,boveri
bover.,boveri
bow.,bowling
bra.,branch
brachyther.,brachytherapy
brackishw.,brackishwater
brams.,bramstedt
bran.,branch
branch.,branches
branche.,branches
brand.,brandeis
branden.,brandenburg
brandenb.,brandenburg
brandenbur.,brandenburg
brandenburg.,brandenburgische
bras.,brasilia
brasil.,brasilia
bratislav.,bratislava
brau.,braunschweig
braun.,braunschweig
brauns.,braunschweig
braunsch.,braunschweig
braunschw.,braunschweig
braz.,brazil
brazil.,brazilian
bre.,breeding
breakthr.,breakthrough
breakthro.,breakthrough
breastfeed.,breastfeeding
breath.,breathing
bree.,breeding
breed.,breeding
brem.,bremen
brent.,brentwood
brest-i.,brest-iroise
bret.,bretagne
breton.,bretonneau
brew.,brewing
brg.,brgm
bri.,british
bridge.,bridgeport
brig.,brigham
bris.,bristol
brist.,bristol
bristol-m.,bristol-myers
brit.,british
briti.,british
brittan.,brittany
brn.,brno
bro.,brown
broad.,broadband
broadb.,broadband
broadcast.,broadcasting
brod.,brody
bromat.,bromatology
bromatol.,bromatology
bron.,bronx
brook.,brookhaven
brookly.,brooklyn
bros.,brossel
brown.,brownsville
bru.,bruxelles
bruc.,bruce
brugman.,brugmann
bruns.,brunswick
brussel.,brussels
brux.,bruxelles
bruxelle.,bruxelles
buc.,bucharest
buch.,bucharest
buckingham.,buckinghamshire
buckinghams.,buckinghamshire
bud.,budapest
budapest.,budapesti
budg.,budgetary
budown.,budownictwa
bui.,building
buil.,building
build.,building
buildin.,building
building.,buildings
bul.,bulgarian
bulg.,bulgarian
bulgar.,bulgarian
bulgaria.,bulgarian
bull.,bullard
bulv.,bulvari
bulvar.,bulvari
bun.,bundesanstalt
bund.,bundesanstalt
bunde.,bundesanstalt
bundes.,bundesanstalt
bundesa.,bundesanstalt
bundesan.,bundesanstalt
bundesans.,bundesanstalt
bundesanst.,bundesanstalt
bundesansta.,bundesanstalt
bundesfors.,bundesforschungsanstalt
bundesforsch.,bundesforschungsanstalt
bundesforschung.,bundesforschungsanstalt
bundesforschungs.,bundesforschungsanstalt
bundesforschungsans.,bundesforschungsanstalt
bundesforschungsanst.,bundesforschungsanstalt
bundesforschungsinst.,bundesforschungsinstitut
bundesg.,bundesgesundheitsamtes
bundesges.,bundesgesundheitsamtes
bundesgesund.,bundesgesundheitsamtes
bundesgesundh.,bundesgesundheitsamtes
bundesgesundheitsamt.,bundesgesundheitsamtes
bundesgesundheitsamte.,bundesgesundheitsamtes
bundesin.,bundesinstitut
bundesinst.,bundesinstitut
bundesinstit.,bundesinstitut
bundesmin.,bundesministerium
bundesmini.,bundesministerium
bundesminist.,bundesministerium
bundesminister.,bundesministerium
bundesr.,bundesrepublik
bundesrep.,bundesrepublik
bundesrepubl.,bundesrepublik
bundesv.,bundesverband
bundesver.,bundesverband
bundesverb.,bundesverband
bundeswehr.,bundeswehrkrankenhaus
bundeswehrkrankenh.,bundeswehrkrankenhaus
bunk.,bunkyo
bunkyo-k.,bunkyo-ku
bur.,bureau
bure.,bureau
burg.,burgos
burger.,burgers
burl.,burlo
burn.,burns
bury.,buryat
bus.,business
bush.,bushehr
busi.,business
busin.,business
busine.,business
butler.,butlerov
butte.,butterfly
buzzati-t.,buzzati-traverso
byd.,bydgoszcz
bydgoszcz.,bydgoszczy
byel.,byelorussian
byelor.,byelorussian
byelorus.,byelorussian
byeloruss.,byelorussian
byelorussia.,byelorussian
bystr.,bystrica
básica.,básicas
bât.,bâtiment
bĝt.,bĝtiment
c-1.,c-15
c-i.,c-iv
c-x.,c-xi
ca'f.,ca'foscari
caa.,caas
cab.,cable
cabi.,cabinet
cable.,cables
cabo.,cabot
cabra.,cabral
cac.,cachan
cad.,cadi
cadd.,caddesi
cade.,cadence
cadr.,cadre
cae.,caen
caes.,caesar
caf.,cafpe
cah.,cahill
cai.,cairo
cal.,california
calabr.,calabria
calc.,calcutta
calde.,calderdale
caledon.,caledonian
caledonia.,caledonian
calgar.,calgary
cali.,california
calib.,calibration
calid.,calidad
calif.,california
califo.,california
califor.,california
californ.,california
californi.,california
california-d.,california-davis
california-l.,california-los
california-r.,california-riverside
california-s.,california-san
california.,californiausa
call.,calle
calmette.,calmettes
calz.,calzada
calzad.,calzada
cam.,campus
camb.,cambridge
cambr.,cambridge
cambridge.,cambridgeshire
camillo-f.,camillo-forlanini
